bootstrap_mode,kind,label,metric,n_states_total,n_states_valid,n_states_missing,mean,ci95_low,ci95_high,n_suites,n_tasks
suite_task_state_hierarchical,condition,wrong_latent,orthogonal_residual_ratio,120,120,0,0.8446629656074263,0.8036273751554676,0.9023599666973277,4,40
suite_task_state_hierarchical,condition,wrong_latent,distance_to_donor,120,120,0,0.7757185836924857,0.6162544600956591,0.9558330423814796,4,40
suite_task_state_hierarchical,condition,shuffled_cache,correct_donor_retrieval_rate,120,120,0,0.2361111111111111,0.2236111111111111,0.24722222222222223,4,40
suite_task_state_hierarchical,condition,shuffled_cache,donor_distance_reduction,120,120,0,-15.665206882643728,-19.23897192778277,-12.658680393895382,4,40
suite_task_state_hierarchical,condition,shuffled_cache,donor_projection,120,120,0,0.4115668154614145,0.37831756302195413,0.4424398596078339,4,40
suite_task_state_hierarchical,condition,shuffled_cache,cosine_alignment,120,120,0,0.0322976140726589,0.024994689066039858,0.03997136015984052,4,40
suite_task_state_hierarchical,condition,shuffled_cache,orthogonal_residual,120,120,0,10.82481792693995,9.813851434371802,11.581835520862994,4,40
suite_task_state_hierarchical,condition,shuffled_cache,orthogonal_residual_ratio,120,120,0,16.620062783174486,13.573724391116862,20.27530289442314,4,40
suite_task_state_hierarchical,condition,shuffled_cache,distance_to_donor,120,120,0,10.86093011165301,9.915398716756336,11.610446650016648,4,40
suite_task_state_hierarchical,condition,donor_latent,correct_donor_retrieval_rate,120,120,0,0.9993055555555556,0.9965277777777778,1.0,4,40
suite_task_state_hierarchical,condition,donor_latent,donor_distance_reduction,120,120,0,0.6828366681664071,0.6374797432285977,0.7380260837780387,4,40
suite_task_state_hierarchical,condition,donor_latent,donor_projection,120,120,0,0.8689926136403685,0.8326021492867692,0.9123910472716924,4,40
suite_task_state_hierarchical,condition,donor_latent,cosine_alignment,120,120,0,0.9433195609601924,0.9269543586621098,0.9620821538114883,4,40
suite_task_state_hierarchical,condition,donor_latent,orthogonal_residual,120,120,0,0.19426726283712895,0.16503884569720212,0.2233516927106163,4,40
suite_task_state_hierarchical,condition,donor_latent,orthogonal_residual_ratio,120,120,0,0.28389882214253925,0.243064315548018,0.3175449249764692,4,40
suite_task_state_hierarchical,condition,donor_latent,distance_to_donor,120,120,0,0.2150085365447652,0.17924331797019957,0.2509741250651226,4,40
suite_task_state_hierarchical,condition,donor_cache,correct_donor_retrieval_rate,120,120,0,0.9993055555555556,0.9965277777777778,1.0,4,40
suite_task_state_hierarchical,condition,donor_cache,donor_distance_reduction,120,120,0,0.6828366681664071,0.6369655450339159,0.7367849673782073,4,40
suite_task_state_hierarchical,condition,donor_cache,donor_projection,120,120,0,0.8689926136403685,0.8326113824044998,0.9108917216402035,4,40
suite_task_state_hierarchical,condition,donor_cache,cosine_alignment,120,120,0,0.9433195609601924,0.9269517026903124,0.962218278778706,4,40
suite_task_state_hierarchical,condition,donor_cache,orthogonal_residual,120,120,0,0.19426726283712895,0.16528443211939145,0.22405080747315498,4,40
suite_task_state_hierarchical,condition,donor_cache,orthogonal_residual_ratio,120,120,0,0.28389882214253925,0.24352818371085583,0.3176860962755097,4,40
suite_task_state_hierarchical,condition,donor_cache,distance_to_donor,120,120,0,0.2150085365447652,0.1801456619930392,0.2512729929481737,4,40
suite_task_state_hierarchical,comparison,donor_latent_minus_wrong_latent,correct_donor_retrieval_rate,120,120,0,0.9986111111111111,0.9930555555555555,1.0,4,40
suite_task_state_hierarchical,comparison,donor_latent_minus_wrong_latent,donor_distance_reduction,120,120,0,0.7380764967598024,0.6747953055080147,0.8072007485372719,4,40
suite_task_state_hierarchical,comparison,donor_latent_minus_wrong_latent,donor_projection,120,120,0,0.43326999102613134,0.4147323460736004,0.4551306612152281,4,40
suite_task_state_hierarchical,comparison,donor_latent_minus_wrong_latent,cosine_alignment,120,120,0,0.4870335887205623,0.4747469008522466,0.49879516868601226,4,40
suite_task_state_hierarchical,comparison,donor_latent_minus_wrong_latent,orthogonal_residual,120,120,0,-0.4069462647389541,-0.5213309974097295,-0.3028961150664357,4,40
suite_task_state_hierarchical,comparison,donor_latent_minus_wrong_latent,orthogonal_residual_ratio,120,120,0,-0.5607641434648869,-0.6275582471020792,-0.4978467501666601,4,40
suite_task_state_hierarchical,comparison,donor_latent_minus_wrong_latent,distance_to_donor,120,120,0,-0.5607100471477205,-0.7150309244353078,-0.4206354201423703,4,40
suite_task_state_hierarchical,comparison,donor_cache_minus_shuffled_cache,correct_donor_retrieval_rate,120,120,0,0.7631944444444445,0.7513888888888889,0.7756944444444446,4,40
suite_task_state_hierarchical,comparison,donor_cache_minus_shuffled_cache,donor_distance_reduction,120,120,0,16.348043550810136,13.313407179638528,19.971302869578192,4,40
suite_task_state_hierarchical,comparison,donor_cache_minus_shuffled_cache,donor_projection,120,120,0,0.45742579817895385,0.43703195708001574,0.47854600566304684,4,40
suite_task_state_hierarchical,comparison,donor_cache_minus_shuffled_cache,cosine_alignment,120,120,0,0.9110219468875336,0.8941847108206337,0.9279845083115039,4,40
suite_task_state_hierarchical,comparison,donor_cache_minus_shuffled_cache,orthogonal_residual,120,120,0,-10.63055066410282,-11.360864813709851,-9.66056640791667,4,40
suite_task_state_hierarchical,comparison,donor_cache_minus_shuffled_cache,orthogonal_residual_ratio,120,120,0,-16.336163961031946,-19.902508669542403,-13.409368151006085,4,40
suite_task_state_hierarchical,comparison,donor_cache_minus_shuffled_cache,distance_to_donor,120,120,0,-10.645921575108247,-11.366522363777325,-9.674173904698051,4,40
suite_task_state_hierarchical,source_grid,latent,correct_source_retrieval_rate,120,120,0,0.9994791666666667,0.9973958333333334,1.0,4,40
suite_task_state_hierarchical,source_grid,cache,correct_source_retrieval_rate,120,120,0,0.9994791666666667,0.9973958333333334,1.0,4,40
