correct_source_tie_fraction,correct_source_top1,cosine_alignment,distance_reduction,distance_to_donor_l2,future_source_index,future_source_seed,native_separation_l2,nearest_native_seed,nearest_tie_count,normalized_final_distance,normalized_projection,orthogonal_residual,recipient_index,recipient_seed,separation_quartile,separation_quartile_label,state_id,task_family
1.0,1,0.9984237452385,0.9437228572576288,0.14583918856178033,3,229,2.5914462151963105,229,1,0.05627714274237119,0.9927222624255286,0.0558045816312814,1,223,4,Q4 (largest),droid_episode_011699_frame_000330,pick
1.0,1,0.9981933462239826,0.9366850996030601,0.11876235447552497,0,211,1.8757409982637359,211,1,0.06331490039693985,1.0163221819713413,0.06117485584755256,2,227,3,Q3,droid_episode_011699_frame_000330,pick
1.0,1,0.9995076578303774,0.9665880873268988,0.06446982264035293,1,223,1.9295460056752596,223,1,0.03341191267310116,0.9875358320893424,0.03100000688338425,2,227,3,Q3,droid_episode_011699_frame_000330,pick
1.0,1,0.9918387940671436,0.8724242857631301,0.19526188975358666,3,229,1.5305569004383064,229,1,0.12757571423686986,0.9793356647104158,0.12589101679662104,2,227,3,Q3,droid_episode_011699_frame_000330,pick
1.0,1,0.9957735590363013,0.9068468298432982,0.1565115427401269,0,211,1.6801526182828137,211,1,0.09315317015670176,1.0070713842194603,0.09288438316242509,3,229,3,Q3,droid_episode_011699_frame_000330,pick
1.0,1,0.9995868160911507,0.9712541988402229,0.07449319761828997,1,223,2.5914462151963105,223,1,0.028745801159777058,0.9988218297175704,0.02872164687309973,3,229,4,Q4 (largest),droid_episode_011699_frame_000330,pick
1.0,1,0.9983488805513473,0.9385182324705661,0.09410134354331891,2,227,1.5305569004383064,227,1,0.061481767529433934,1.0185844914380273,0.05860566880885538,3,229,3,Q3,droid_episode_011699_frame_000330,pick
1.0,1,0.9995926478544898,0.9713856356569452,0.15536677401625723,1,223,5.429677631611186,223,1,0.028614364343054775,0.997126327112929,0.0284697005761423,0,211,4,Q4 (largest),droid_episode_012839_frame_000207,move
1.0,1,0.9997189667081495,0.9762928515957143,0.1403410784517506,2,227,5.919778965334376,227,1,0.023707148404285647,0.9992348910695892,0.023694798876281464,0,211,4,Q4 (largest),droid_episode_012839_frame_000207,move
1.0,1,0.9997133634925185,0.9756301909782273,0.12211725698213685,3,229,5.011005907885198,229,1,0.02436980902177267,0.9948787464698989,0.02382562389609345,0,211,4,Q4 (largest),droid_episode_012839_frame_000207,move
1.0,1,0.9979921728416982,0.9366609826229465,0.3439104458604194,0,211,5.429677631611186,211,1,0.06333901737705346,0.9964437235837683,0.06323910198873824,1,223,4,Q4 (largest),droid_episode_012839_frame_000207,move
1.0,1,0.9992920311988592,0.9619415095061585,0.10957567995446296,2,227,2.879138886819335,227,1,0.03805849049384147,1.0043261304226923,0.03781181421507938,1,223,4,Q4 (largest),droid_episode_012839_frame_000207,move
1.0,1,0.9993769483064869,0.9640617965350462,0.09545399853707406,3,229,2.6560592721380396,229,1,0.03593820346495384,0.9919880323728845,0.035033738639067245,1,223,4,Q4 (largest),droid_episode_012839_frame_000207,move
1.0,1,0.9998131549551891,0.9805220389509782,0.11530522410560139,0,211,5.919778965334376,211,1,0.01947796104902177,0.9972318417687265,0.019280255875735723,2,227,4,Q4 (largest),droid_episode_012839_frame_000207,move
1.0,1,0.9994022614084649,0.9634784840888021,0.10515051666552083,1,223,2.879138886819335,223,1,0.03652151591119786,1.0105749892073765,0.03495698396194599,2,227,4,Q4 (largest),droid_episode_012839_frame_000207,move
1.0,1,0.9996837050630584,0.974752710149109,0.09651056733137024,3,229,3.822610977311079,229,1,0.025247289850890926,0.997146543809724,0.02508552237018547,2,227,4,Q4 (largest),droid_episode_012839_frame_000207,move
1.0,1,0.9973580970652928,0.9273208622409423,0.3641955886906402,0,211,5.011005907885198,211,1,0.07267913775905768,0.9923989127236787,0.0722805681882609,3,229,4,Q4 (largest),droid_episode_012839_frame_000207,move
1.0,1,0.9986194383619814,0.9473192188114784,0.1399232773392481,1,223,2.6560592721380396,223,1,0.05268078118852163,0.9932403948406731,0.052245310265352,3,229,4,Q4 (largest),droid_episode_012839_frame_000207,move
1.0,1,0.9996224631654532,0.9725189135198606,0.10504950284741564,2,227,3.822610977311079,227,1,0.02748108648013932,0.9987170835554436,0.02745112455847999,3,229,4,Q4 (largest),droid_episode_012839_frame_000207,move
1.0,1,0.9969753231265144,0.9087643977122112,0.09383292772966428,1,223,1.0284683322819816,223,1,0.09123560228778879,1.0416036387039522,0.08119773624557881,0,211,2,Q2,droid_episode_016483_frame_000077,move
