future_noise_seed,goal_endpoint_donor_steering__interaction,goal_endpoint_donor_steering__o1r1_minus_gaussian,goal_endpoint_donor_steering__object_main_effect,goal_endpoint_donor_steering__robot_main_effect,initial_state_index,modality,native_action_similarity__interaction,native_action_similarity__o1r1_minus_gaussian,native_action_similarity__object_main_effect,native_action_similarity__robot_main_effect,prefix_chunks,robot_endpoint_donor_steering__interaction,robot_endpoint_donor_steering__o1r1_minus_gaussian,robot_endpoint_donor_steering__object_main_effect,robot_endpoint_donor_steering__robot_main_effect,task_id,unit_id
1213,0.006796699133798656,0.003114548325279909,-0.0057079061573139245,0.0029242440265264125,17,all,-0.0011043476497423158,-0.010373793728743336,-0.0004713472989606336,-0.013874771195182552,6,-0.0012530067215866802,0.0023240220244818977,5.927584017034748e-05,0.0031743488970247813,2,task02_state17
1213,,,,,17,wrist,0.0025899307381200033,,0.00013328339303837582,-0.009255151453156198,6,,,,,2,task02_state17
1213,,,,,17,primary,-5.412568771900536e-05,,0.00032101127098989324,-0.0014610002732284907,6,,,,,2,task02_state17
1213,,,,,17,proprio,0.0,,0.0,-0.0029442327508501284,6,,,,,2,task02_state17
1217,-0.0066076312335805465,-0.0046046706285463035,-1.3959796772655686e-05,0.0028734508794306945,17,all,0.0018168986589281316,-0.011889848840586211,-0.00031236619682328826,-0.013128244910461585,6,-0.0006675527559442118,0.003154701519315295,-0.0003644600861836822,0.002782394418026357,2,task02_state17
1217,,,,,17,wrist,-0.0006839835617584358,,0.0012560857682250874,-0.0053261204554132585,6,,,,,2,task02_state17
1217,,,,,17,primary,0.002149032337690605,,0.0017340191758824577,-0.0008145565046785317,6,,,,,2,task02_state17
1217,,,,,17,proprio,0.0,,0.0,-0.0019615790796707524,6,,,,,2,task02_state17
1201,-0.0023350338716514596,0.0017737652563694084,-0.00020568192585945777,0.0017001790417213725,35,all,-0.01514109700049699,0.003485001608480389,0.0016089971631744783,0.0021864715757720365,4,-0.0023373748800179506,0.0017260386042553533,-0.00024381171824872094,0.0016890168778042058,2,task02_state35
1201,,,,,35,wrist,-0.01721166802629421,,0.0006540381390966995,0.006060272193119386,4,,,,,2,task02_state35
1201,,,,,35,primary,0.0025479022619135823,,0.0004051719090257099,-0.0003868582710277648,4,,,,,2,task02_state35
1201,,,,,35,proprio,0.0,,0.0,-0.0003450456998192013,4,,,,,2,task02_state35
1213,-0.0027404633536767253,0.0018882660323787936,-0.00016041016301282518,0.002133674221306392,35,all,-0.021826715133017628,0.004186101953771931,0.0005526650376530759,0.006288744462703871,4,-0.002801346188826326,0.001860791733311884,-0.0001703484166258873,0.002101299417785474,2,task02_state35
1213,,,,,35,wrist,-0.021884362597782623,,6.193146117497265e-05,0.008166950390360842,4,,,,,2,task02_state35
1213,,,,,35,primary,0.0015842925304401269,,-0.001622802675447772,-0.0007201069491019115,4,,,,,2,task02_state35
1213,,,,,35,proprio,0.0,,0.0,-0.001340813316367255,4,,,,,2,task02_state35
1217,-0.002504583935254656,0.0013259209741647293,-0.00014394156547414827,0.0018449851983272092,35,all,-0.005951155316544804,-0.003873218097276563,0.0027835034087212197,-0.0036672599952782756,4,-0.0024536253404170427,0.0013848899514387059,-0.00015105459701025836,0.0019060767238098242,2,task02_state35
1217,,,,,35,wrist,-0.01075413942605637,,0.0021349616795603415,0.0005357620949881462,4,,,,,2,task02_state35
1217,,,,,35,primary,-0.0013845475860592114,,-0.0007308429547377045,0.00017108964328882426,4,,,,,2,task02_state35
1217,,,,,35,proprio,0.0,,0.0,0.00030140231272920114,4,,,,,2,task02_state35
1201,-0.003583669690721658,1.411032495068909e-06,-0.0015576290249682545,0.0014051001749323389,17,all,0.004786485283458843,0.00268270534346288,0.0012793727172135897,-0.001607822771636418,12,0.00023370116764742654,0.0005141998363741296,7.776379986246251e-05,3.0552610933765045e-05,3,task03_state17
1201,,,,,17,wrist,0.00037672785517200817,,0.00032773205989375994,-0.001283590187733579,12,,,,,3,task03_state17
1201,,,,,17,primary,-0.0005318205075477925,,0.0014086244129945828,0.0019352161971570745,12,,,,,3,task03_state17
1201,,,,,17,proprio,0.0,,0.0,-0.0010804300597110818,12,,,,,3,task03_state17
1213,-0.0017572540965924421,-0.0002636609465054285,0.000492324602573091,-0.000881990210101713,17,all,0.0020327559326817277,0.0015167903241262836,0.00039694507862258425,8.34033862950655e-05,12,-0.000918317588861628,-0.00048684260181830474,-0.0002338279853835168,-0.00014809825301687063,3,task03_state17
1213,,,,,17,wrist,0.005490079622015979,,0.0013601436543679724,-0.0011783695064211917,12,,,,,3,task03_state17
1213,,,,,17,primary,0.00041640717592923183,,0.0018589873957151294,0.0020519602199050814,12,,,,,3,task03_state17
1213,,,,,17,proprio,0.0,,0.0,0.0028603855271723596,12,,,,,3,task03_state17
1217,-0.001199219140272323,-0.0054706783384056434,-0.005356969094777175,0.0006026005630373477,17,all,0.0007562665990212391,-0.0031347623208202446,0.002415984684944324,-0.003377994466856173,12,0.0006993022886500055,-0.0004997774816354328,-0.0010965267147126645,1.1535763765724294e-05,3,task03_state17
1217,,,,,17,wrist,0.0024872882951530954,,0.0011985812773739899,-0.004188325688780693,12,,,,,3,task03_state17
1217,,,,,17,primary,0.0005344936672511715,,0.001649251534514732,0.0016363169612383169,12,,,,,3,task03_state17
1217,,,,,17,proprio,0.0,,0.0,8.630316441591429e-05,12,,,,,3,task03_state17
1201,0.0004945634346948946,-6.103475622964982e-05,-0.00021652961508866753,-0.00024167125452445593,35,all,0.0026742794321934875,0.002054815785950112,0.0014555272154656174,1.978710723530945e-05,13,0.000655226683290544,-0.001534723987448916,0.0007692538959460093,-0.0013890818658442439,3,task03_state35
1201,,,,,35,wrist,0.005281251726346371,,0.0014616984439039292,-0.0003939217919347862,13,,,,,3,task03_state35
1201,,,,,35,primary,-0.001303567122099815,,-0.0011907953726331445,-0.003368503708321785,13,,,,,3,task03_state35
1201,,,,,35,proprio,0.0,,0.0,-0.0007724757505788576,13,,,,,3,task03_state35
1213,0.000573833987787209,0.0004702460748660098,0.0006286829249170234,0.0006346593346507889,35,all,-0.003626091295510798,-0.0011885658938034747,7.090748052933186e-05,-0.00011762405613950817,13,0.00026731704873295126,-0.0018626144029014746,0.00303359252038643,-0.00134375448863161,3,task03_state35
1213,,,,,35,wrist,0.0038485472382567484,,-0.0019927071808451997,-0.0016045609425501383,13,,,,,3,task03_state35
1213,,,,,35,primary,-0.004485855490610891,,-0.0012427207281766458,0.00260978727963987,13,,,,,3,task03_state35
1213,,,,,35,proprio,0.0,,0.0,-0.0017125389538196374,13,,,,,3,task03_state35
1217,-0.0004401295004785588,-0.0005708718190379214,-0.0002594018255750452,-0.00046849559814277075,35,all,0.00046137021994389037,-0.0028066883246227955,-0.0035403470287000407,-0.00012409799757336342,13,-0.0014840473434734047,-0.0017215128262533241,-0.0007799899860400084,-0.0010277957149503747,3,task03_state35
1217,,,,,35,wrist,-0.0011363537273110132,,-0.000684753350879962,0.0028198699992930693,13,,,,,3,task03_state35
1217,,,,,35,primary,0.0009527995092809168,,-0.0008363383676705501,0.002819301469001354,13,,,,,3,task03_state35
1217,,,,,35,proprio,0.0,,0.0,-0.00041359452493410637,13,,,,,3,task03_state35
1201,-0.0022191526538617445,0.0003873251139737688,0.000624234141969271,-0.0011608636928702176,17,all,-0.0022562557867369867,0.006201759482907377,0.0011609742824125408,0.007566199635046165,12,-0.0028622621176797036,0.0010980000466430662,0.0008723765835785269,-0.0005634942204874038,4,task04_state17
1201,,,,,17,wrist,0.010294705177658917,,-0.0023118112360119257,0.004586728975577402,12,,,,,4,task04_state17
1201,,,,,17,primary,-0.0015703752905374055,,-0.001308560643697488,0.003267168811983334,12,,,,,4,task04_state17
1201,,,,,17,proprio,0.0,,0.0,-0.001940537430591525,12,,,,,4,task04_state17
1213,-0.002796561485189697,-0.0001147450840546238,0.0006258825301087012,-0.0011562156522519351,17,all,-0.0011865600759840451,0.002836393227115437,-0.0002602033088104517,0.006206751148802014,12,-0.0031104792827246763,0.0004258531542111754,0.0006168699798690391,-0.0007103867686614751,4,task04_state17
1213,,,,,17,wrist,-0.0018259881083352164,,0.00024571002692055314,0.0030017724309676095,12,,,,,4,task04_state17
1213,,,,,17,primary,-0.0011348193693619772,,0.000142442728639584,0.0026296145857611485,12,,,,,4,task04_state17
1213,,,,,17,proprio,0.0,,0.0,-0.002508399466350765,12,,,,,4,task04_state17
1217,-0.0019190300149646289,0.0001979385712567172,0.0006641569816203119,-0.000731467545942166,17,all,-0.007464002667753301,0.009919743253647337,0.0030209377556287102,0.00546537612699648,12,-0.0028180840561401466,0.0010594474936671539,0.0008207126401797438,-0.0004994649168175713,4,task04_state17
1217,,,,,17,wrist,-0.005773009178913668,,0.0006872929035360766,0.0028361645131550015,12,,,,,4,task04_state17
1217,,,,,17,primary,-0.001588380027187128,,0.0011501460677489448,-0.0010447541265532871,12,,,,,4,task04_state17
1217,,,,,17,proprio,0.0,,0.0,-0.0004406632296862726,12,,,,,4,task04_state17
1201,-0.0001206534452503627,0.0017987805122333667,2.6189913905905193e-06,0.0014108210302372082,35,all,0.001646817909831129,0.0007613337132613002,0.000431201127638706,-0.0018043404695316928,12,9.481400098376724e-08,0.0017305762853977447,3.529126738627264e-05,0.0016080872300349713,4,task04_state35
1201,,,,,35,wrist,0.0012793594343763655,,-0.0006035312001635897,-0.0041412319023587975,12,,,,,4,task04_state35
1201,,,,,35,primary,0.001826584664838201,,0.0007457137379444957,0.0025258085406978555,12,,,,,4,task04_state35
