action_donor_steering,contrast,direction,future_noise_seed,goal_endpoint_donor_steering,goal_endpoint_projected_l2,initial_state_index,pair_type,prefix_chunks,robot_endpoint_donor_steering,robot_endpoint_projected_l2,task_id,unit_id
0.043864555951849155,object_proprio_donor_minus_recipient,forward,1201,,,35,object,14,,,9,task09_state35
0.017485080367672268,object_all_donor_minus_gaussian,forward,1201,-0.8493241438526395,-0.01312801965271989,35,object,14,,,9,task09_state35
0.10316225974671878,object_all_donor_minus_natural_control,forward,1201,-0.778975397406097,-0.012040637723713225,35,object,14,,,9,task09_state35
0.029779551085907352,object_all_donor_minus_recipient,forward,1213,-0.003986390608610724,-6.16177164302293e-05,35,object,14,,,9,task09_state35
-0.044921211257597626,object_wrist_donor_minus_recipient,forward,1213,,,35,object,14,,,9,task09_state35
0.03773826561835736,object_primary_donor_minus_recipient,forward,1213,,,35,object,14,,,9,task09_state35
0.003218398339662122,object_proprio_donor_minus_recipient,forward,1213,,,35,object,14,,,9,task09_state35
0.02838826102834746,object_all_donor_minus_gaussian,forward,1213,0.14501061895803413,0.0022414319306863443,35,object,14,,,9,task09_state35
0.0183355520691455,object_all_donor_minus_natural_control,forward,1213,0.20256347091776905,0.003131027472113187,35,object,14,,,9,task09_state35
-0.0002096342567852183,object_all_donor_minus_recipient,forward,1217,0.7238798976445588,0.01118902552255179,35,object,14,,,9,task09_state35
-0.005891929292017206,object_wrist_donor_minus_recipient,forward,1217,,,35,object,14,,,9,task09_state35
-0.010792628759725302,object_primary_donor_minus_recipient,forward,1217,,,35,object,14,,,9,task09_state35
0.0035501322966812743,object_proprio_donor_minus_recipient,forward,1217,,,35,object,14,,,9,task09_state35
0.04915318965012494,object_all_donor_minus_gaussian,forward,1217,0.003708089069653364,5.731600418142774e-05,35,object,14,,,9,task09_state35
-0.005838823133544224,object_all_donor_minus_natural_control,forward,1217,0.7256457793421579,0.011216320789969127,35,object,14,,,9,task09_state35
-0.05723252272889512,object_all_donor_minus_recipient,reverse,1201,0.09809145982652712,0.0015162015841504901,35,object,14,,,9,task09_state35
-0.02583122494391532,object_all_donor_minus_gaussian,reverse,1201,-0.02107602879331172,-0.0003257725830621075,35,object,14,,,9,task09_state35
0.025355136508766973,object_all_donor_minus_recipient,reverse,1213,0.15223904843522723,0.0023531619043621593,35,object,14,,,9,task09_state35
0.011098993091325005,object_all_donor_minus_gaussian,reverse,1213,0.31263678209618206,0.004832432763425471,35,object,14,,,9,task09_state35
0.04342916045568068,object_all_donor_minus_recipient,reverse,1217,0.001631416966358351,2.5216843476251298e-05,35,object,14,,,9,task09_state35
-0.0036205227870818035,object_all_donor_minus_gaussian,reverse,1217,-0.6232316000579229,-0.009633302847888946,35,object,14,,,9,task09_state35
0.057984742209582274,robot_all_donor_minus_recipient,forward,1201,,,35,robot,14,0.03433667623666026,0.00029993385767039613,9,task09_state35
