branches,candidate_rank,common_recipients,eligible,initial_state_index,joint_pairs,maximum_action_l2,maximum_object_goal_l2,maximum_robot_gripper_l2,maximum_robot_orientation_angle_rad,maximum_robot_position_l2_m,median_action_l2,median_object_goal_l2,median_robot_gripper_l2,median_robot_orientation_angle_rad,median_robot_position_l2_m,object_pairs,prefix_chunks,robot_pairs,task_id,unit_id
64,2,0,False,35,0,0.07048648039968122,0.0036784771746189715,7.308691552799475e-05,0.00394267801171978,0.0018568803780891065,0.04555993799790947,0.000788043452797523,1.248541405782536e-05,0.0015117982480783512,0.00045404120630570036,13,12,0,3,task03_state35
64,3,0,False,35,1021,0.39948028207032504,0.015941822617750713,6.246575592376384e-06,0.007614200863254306,0.015757594756707575,0.09270077666675744,0.0030624929762194776,1.981354396581869e-06,0.0022718433408563726,0.0030365656985298153,10,6,0,3,task03_state35
64,1,0,False,17,0,0.08051199501662547,0.00199910975398856,2.125410981991416e-06,0.004055020183213219,0.001818170816030509,0.04232786951046577,0.0006899967648910308,4.1417557978852327e-07,0.001453578626972115,0.0006814711289427869,0,12,0,4,task04_state17
64,2,0,False,17,0,0.06185511194608331,0.001493370508919471,2.7417665801297117e-06,0.004141874996303144,0.0014877587392736543,0.04124792278680135,0.0005220155550250408,6.17658916754335e-07,0.0013694512108425262,0.0004828727546614882,0,4,0,4,task04_state17
64,3,0,False,17,0,0.055662706748976255,0.0012007494004248815,1.4662527195645728e-06,0.0025497024238979745,0.001118664006612998,0.03379985261152474,0.00046509418924530014,3.3189394223564414e-07,0.0009545457036972294,0.0004516429319356784,0,13,0,4,task04_state17
64,1,0,False,35,0,0.06393217312632478,0.0012133903063103238,2.373999849634083e-06,0.00571664971075028,0.00113377129920822,0.036086883344135505,0.0004011101399500188,4.4218799719016557e-07,0.0015378774846216102,0.0003871999424170386,0,12,0,4,task04_state35
64,2,0,False,35,0,0.06203450991481153,0.0016547619930100406,1.944427180832382e-06,0.003948153543320661,0.0016429918888086188,0.039039239965456635,0.00047728016326611787,6.232503136047593e-07,0.001458614758380708,0.0004661123657592948,0,4,0,4,task04_state35
64,3,0,False,35,704,0.2629393407610607,0.009754183491681537,2.0202351688954144e-05,0.004757244298689498,0.009742683267151405,0.07445385325974731,0.0022792147596644493,4.486504016614227e-06,0.0017503885129991834,0.0022543639751211176,16,3,0,4,task04_state35
64,1,0,False,17,0,0.05635622612273945,0.0012804210695817803,1.8228677874989254e-06,0.004026044201666214,0.0012754896043955298,0.03562380110085253,0.0004441610121333002,4.197240469175372e-07,0.0012239651955511513,0.00042223991603923116,0,5,0,5,task05_state17
64,2,0,False,17,0,0.04763774472961019,0.001025358234084095,1.4858401388959355e-06,0.0030839788399438842,0.0009478626556071358,0.031179864811339386,0.00042397645880163607,2.783018821829081e-07,0.0009658946001078817,0.0003963242145874698,0,7,0,5,task05_state17
